Campaign Name,Campaign ID,Audience Segment,Subject Line,Preview Text,Send Date,Total Sent,Delivered,Bounced,Opened,Open Rate %,Clicked,Click Rate %,Replied,Reply Rate %,Converted,Conversion Rate %,UTM Source,UTM Medium,UTM Campaign,UTM Content,Notes
eWynk Promo - Initial,CAMP001,General,Free strategy session — no strings attached,Quick honest advice on improving your online results,2025-11-20,500,495,5,150,30.3,45,9.1,8,1.6,3,0.6,email,promo,promo_nov2025,cta_schedule,Initial send to general list
eWynk Promo - E-commerce,CAMP002,E-commerce,Boost your Shopify store sales — free consultation,Free e-commerce audit to find hidden revenue,2025-11-20,200,198,2,75,37.9,28,14.1,5,2.5,2,1.0,email,promo,promo_nov2025,cta_schedule,E-commerce segment
eWynk Promo - Service Biz,CAMP003,Service Business,Get more service bookings from your website,Automate client onboarding and save 10 hours every week,2025-11-20,150,148,2,52,35.1,18,12.2,4,2.7,1,0.7,email,promo,promo_nov2025,cta_schedule,Service business segment
eWynk Promo - Startups,CAMP004,Startups,Launch your MVP faster with eWynk,Startup-friendly development to get you from idea to market,2025-11-20,100,99,1,38,38.4,15,15.2,3,3.0,2,2.0,email,promo,promo_nov2025,cta_schedule,Startup segment
Follow-up 1 - General,CAMP005,General,Any time for a short chat this week?,Just checking in about free strategy session,2025-11-23,350,348,2,98,28.2,22,6.3,5,1.4,1,0.3,email,promo,promo_nov2025,followup1,First follow-up to non-openers
Follow-up 2 - General,CAMP006,General,3 quick wins to improve conversions,Here are 3 things most sites can improve right away,2025-11-27,300,298,2,105,35.2,32,10.7,7,2.3,2,0.7,email,promo,promo_nov2025,followup2,Value-add follow-up
Follow-up 3 - General,CAMP007,General,Final call — a few slots left this month,Last chance to book your free strategy session,2025-12-01,250,249,1,82,32.9,25,10.0,4,1.6,1,0.4,email,promo,promo_nov2025,followup3,Scarcity-based final follow-up
WhatsApp Promo,CAMP008,VIP Contacts,N/A,N/A,2025-11-21,50,50,0,50,100.0,18,36.0,12,24.0,4,8.0,whatsapp,direct,promo_nov2025,wa_message,WhatsApp to high-value contacts
A/B Test - Subject A,CAMP009,Test Group A,Free strategy session — no strings attached,Quick honest advice,2025-11-22,100,99,1,32,32.3,9,9.1,2,2.0,1,1.0,email,promo,promo_nov2025,ab_test_subject_a,A/B test variant A
A/B Test - Subject B,CAMP010,Test Group B,Turn your website into a lead machine,Practical steps to increase leads,2025-11-22,100,99,1,38,38.4,14,14.1,3,3.0,2,2.0,email,promo,promo_nov2025,ab_test_subject_b,A/B test variant B - WINNER
